guard_id,age,location,deployment_type,shift_hours,late_arrivals,absenteeism,incidents_reported,incident_type,response_time_minutes,client_satisfaction_score,supervisor_rating,overtime_hours,contract_value,fuel_consumption_liters,distance_covered_km,patrol_vehicle_used,incident_rate,efficiency_score,total_cost,profit_margin,Client satisfaction %,profit margin %,Index,Date,Month Name,MonthNum,Year,efficeincy score %
G0004,40,Abuja,Retail,8,0,0,1,Equipment Failure,26.9,89,76,1,663133,5.03,11.5,No,0.12,82.5,599757.18,9.56,89%,9.56%,3,4/4/2024,April,4,2024,83%
G0009,43,Lagos,Industrial,8,0,0,1,Equipment Failure,31.1,94,46,17,1029055,15,66.9,No,0.12,70,663802.11,35.49,94%,35.49%,8,9/9/2023,September,9,2023,70%
G0029,28,Abuja,Industrial,8,0,0,1,Dispute,21.1,63,96,2,500211,24.14,189.5,Yes,0.12,79.5,457950.7,8.45,63%,8.45%,28,5/1/2023,May,5,2023,80%
G0032,44,Port Harcourt,Retail,8,0,0,1,Breach,30.7,67,44,13,972960,22.36,148.4,No,0.12,55.5,711649.98,26.86,67%,26.86%,31,8/4/2024,August,8,2024,56%
G0035,45,Port Harcourt,Residential,8,0,0,1,Breach,45,73,90,3,855564,10.56,50.6,No,0.12,81.5,753538.45,11.92,73%,11.92%,34,11/7/2023,November,11,2023,82%
G0044,23,Lagos,Residential,8,0,0,1,Fire,21,57,79,12,1280317,26.33,49.9,No,0.12,68,796163.61,37.82,57%,37.82%,43,8/16/2024,August,8,2024,68%
G0053,33,Port Harcourt,Industrial,8,0,0,1,Theft,14.9,88,61,7,1046648,23.11,64.9,No,0.12,74.5,951290.27,9.11,88%,9.11%,52,5/25/2023,May,5,2023,75%
G0075,30,Kano,Event,8,0,0,1,Unknown,25.7,94,99,9,1061254,22.67,23,No,0.12,96.5,759000.06,28.48,94%,28.48%,74,3/19/2023,March,3,2023,97%
G0085,27,Abuja,Corporate,8,0,0,1,Breach,21.5,56,66,16,448388,17.57,140.8,Yes,0.12,61,409259.65,8.73,56%,8.73%,84,1/1/2023,January,1,2023,61%
G0109,51,Port Harcourt,Industrial,8,0,0,1,Fire,10.8,80,65,12,506994,13,100.7,Yes,0.12,72.5,409131.66,19.3,80%,19.30%,108,1/25/2023,January,1,2023,73%
G0113,42,Ibadan,Corporate,8,0,0,1,Fire,24.9,55,56,14,862781,9.81,72,Yes,0.12,55.5,781339.46,9.44,55%,9.44%,112,5/1/2023,May,5,2023,56%
G0141,34,Kano,Residential,8,0,0,1,Fire,28.6,91,60,13,695991,20.35,192.5,No,0.12,75.5,506747.86,27.19,91%,27.19%,140,9/1/2023,September,9,2023,76%
G0150,21,Port Harcourt,Event,8,0,0,1,Theft,29.7,89,41,5,444608,27.08,112.3,No,0.12,65,330671.28,25.63,89%,25.63%,149,6/10/2024,June,6,2024,65%
G0184,51,Ibadan,Industrial,8,0,0,1,Equipment Failure,22.9,78,98,10,1081627,29.07,13,Yes,0.12,88,808380.97,25.26,78%,25.26%,183,4/16/2024,April,4,2024,88%
G0204,28,Lagos,Industrial,8,0,0,1,Breach,20.3,90,90,2,833963,15.77,160.3,Yes,0.12,90,680964.63,18.35,90%,18.35%,203,12/8/2024,December,12,2024,90%
G0234,22,Lagos,Residential,8,0,0,1,Equipment Failure,21.9,67,96,18,476682,18.56,97,No,0.12,81.5,382715.49,19.71,67%,19.71%,233,6/10/2024,June,6,2024,82%
G0248,47,Kano,Retail,8,0,0,1,Breach,13,96,75,19,793496,7.79,166.1,Yes,0.12,85.5,702405.4,11.48,96%,11.48%,247,8/24/2024,August,8,2024,86%
G0252,23,Lagos,Corporate,8,0,0,1,Equipment Failure,18.3,52,53,0,575001,13.1,68.2,No,0.12,52.5,446766.01,22.3,52%,22.30%,251,12/28/2024,December,12,2024,53%
G0276,41,Lagos,Event,8,0,0,1,Dispute,24.3,71,74,9,1365791,13.42,167.4,Yes,0.12,72.5,877914.79,35.72,71%,35.72%,275,12/24/2024,December,12,2024,73%
G0283,52,Kano,Industrial,8,0,0,1,Fire,30.2,72,81,17,1477047,24.58,117.4,No,0.12,76.5,1387321.02,6.07,72%,6.07%,282,7/3/2023,July,7,2023,77%
G0290,32,Lagos,Retail,8,0,0,1,Fire,18.1,61,93,3,971844,13.48,179,Yes,0.12,77,598314.39,38.44,61%,38.44%,289,2/10/2024,February,2,2024,77%
G0291,26,Abuja,Corporate,8,0,0,1,Equipment Failure,30.4,75,82,9,1023983,16.3,136.4,Yes,0.12,78.5,710442.63,30.62,75%,30.62%,290,3/11/2023,March,3,2023,79%
G0297,31,Lagos,Residential,8,0,0,1,Fire,25.8,92,51,18,696608,6.08,68.2,No,0.12,71.5,449974.22,35.4,92%,35.40%,296,9/17/2023,September,9,2023,72%
G0302,21,Lagos,Residential,8,0,0,1,Unknown,12.4,81,42,15,1242969,26.05,109.8,No,0.12,61.5,1052116.28,15.35,81%,15.35%,301,2/22/2024,February,2,2024,62%
G0304,42,Lagos,Industrial,8,0,0,1,Breach,42.9,74,59,15,1436469,24.03,198.4,Yes,0.12,66.5,1312774.89,8.61,74%,8.61%,303,4/24/2024,April,4,2024,67%
G0310,34,Port Harcourt,Residential,8,0,0,1,Unknown,31.7,91,63,9,1006465,13.39,153.6,No,0.12,77,743703.38,26.11,91%,26.11%,309,10/2/2024,October,10,2024,77%
G0326,45,Lagos,Residential,8,0,0,1,Fire,41.8,75,86,8,1176143,8.19,80.2,Yes,0.12,80.5,949565.07,19.26,75%,19.26%,325,2/18/2024,February,2,2024,81%
G0327,45,Kano,Retail,8,0,0,1,Theft,25.3,73,61,18,628396,28.7,28.7,No,0.12,67,398956.86,36.51,73%,36.51%,326,3/19/2023,March,3,2023,67%
